bin,mae_in_bin,feature,model
"(10.120000000000001, 16.413]",0.023356229314143658,gate_length_nm,linear_regression
"(16.413, 22.344]",0.024142594725633237,gate_length_nm,linear_regression
"(22.344, 28.124]",0.02634354648426525,gate_length_nm,linear_regression
"(28.124, 33.217]",0.024649120132356934,gate_length_nm,linear_regression
"(33.217, 40.177]",0.025280230742352153,gate_length_nm,linear_regression
"(40.177, 46.586]",0.02399994566777963,gate_length_nm,linear_regression
"(46.586, 54.521]",0.025007269111754514,gate_length_nm,linear_regression
"(54.521, 59.999]",0.023882720475802432,gate_length_nm,linear_regression
"(0.601, 0.669]",0.02559613238065273,voltage,linear_regression
"(0.669, 0.742]",0.02615676080369599,voltage,linear_regression
"(0.742, 0.818]",0.020059058924434593,voltage,linear_regression
"(0.818, 0.893]",0.02336891615327971,voltage,linear_regression
"(0.893, 0.961]",0.026574216047293556,voltage,linear_regression
"(0.961, 1.037]",0.024300848464998324,voltage,linear_regression
"(1.037, 1.115]",0.025472927509255495,voltage,linear_regression
"(1.115, 1.197]",0.025132796370477398,voltage,linear_regression
"(10.120000000000001, 16.413]",0.047395808167057546,gate_length_nm,random_forest
"(16.413, 22.344]",0.048283029489674195,gate_length_nm,random_forest
"(22.344, 28.124]",0.04054478116652972,gate_length_nm,random_forest
"(28.124, 33.217]",0.03920324091546777,gate_length_nm,random_forest
"(33.217, 40.177]",0.04347124674723768,gate_length_nm,random_forest
"(40.177, 46.586]",0.04537002903250904,gate_length_nm,random_forest
"(46.586, 54.521]",0.04472637520785702,gate_length_nm,random_forest
"(54.521, 59.999]",0.04654043347558069,gate_length_nm,random_forest
"(0.601, 0.669]",0.04983936443261561,voltage,random_forest
"(0.669, 0.742]",0.04607792975241436,voltage,random_forest
"(0.742, 0.818]",0.04155241142893582,voltage,random_forest
"(0.818, 0.893]",0.03522355413219718,voltage,random_forest
"(0.893, 0.961]",0.04409269429464485,voltage,random_forest
"(0.961, 1.037]",0.04013509608135735,voltage,random_forest
"(1.037, 1.115]",0.03893698920130615,voltage,random_forest
"(1.115, 1.197]",0.05967690487844235,voltage,random_forest
"(10.120000000000001, 16.413]",0.037421471369172954,gate_length_nm,mlp
"(16.413, 22.344]",0.03654971956480902,gate_length_nm,mlp
"(22.344, 28.124]",0.034624513063631665,gate_length_nm,mlp
"(28.124, 33.217]",0.03375278262604013,gate_length_nm,mlp
"(33.217, 40.177]",0.03914773504501689,gate_length_nm,mlp
"(40.177, 46.586]",0.03600033218295861,gate_length_nm,mlp
"(46.586, 54.521]",0.03414843404613468,gate_length_nm,mlp
"(54.521, 59.999]",0.035260770269353287,gate_length_nm,mlp
"(0.601, 0.669]",0.040831439070555614,voltage,mlp
"(0.669, 0.742]",0.036372779823803804,voltage,mlp
"(0.742, 0.818]",0.03571922642121425,voltage,mlp
"(0.818, 0.893]",0.0356705979973594,voltage,mlp
"(0.893, 0.961]",0.0355337196619452,voltage,mlp
"(0.961, 1.037]",0.02812844628970067,voltage,mlp
"(1.037, 1.115]",0.03397741806179769,voltage,mlp
"(1.115, 1.197]",0.04067213084074058,voltage,mlp
